epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.907,2.11824,1.98212,1.39409,0.38508,0.55291,0.29346,0.09994,2.2829,2.89641,1.63567,0.000476025,0.000476025,0.000476025
2,403.037,1.91835,1.42801,1.29943,0.5507,0.64419,0.61246,0.25371,2.15957,1.71991,1.53006,0.000858075,0.000858075,0.000858075
3,580.653,1.84284,1.31232,1.26025,0.57928,0.70475,0.60208,0.283,1.87361,1.69668,1.36788,0.00114581,0.00114581,0.00114581
4,928.488,1.76803,1.21634,1.22806,0.62559,0.77075,0.76207,0.36919,1.81002,1.51794,1.33075,0.00100459,0.00100459,0.00100459
5,1400.35,1.69693,1.13474,1.19082,0.66871,0.76123,0.71212,0.35945,1.79191,1.39364,1.2863,0.000863116,0.000863116,0.000863116
6,2083.67,1.63602,1.06669,1.16312,0.71116,0.74372,0.76456,0.35035,1.90729,1.3541,1.31531,0.000721645,0.000721645,0.000721645
7,2236.87,1.58472,1.00723,1.14061,0.73352,0.78163,0.79682,0.44357,1.6008,1.17589,1.20391,0.000580174,0.000580174,0.000580174
8,2400.73,1.53562,0.95603,1.11896,0.80879,0.79103,0.82162,0.44218,1.67094,1.10698,1.21572,0.000438703,0.000438703,0.000438703
9,2551.38,1.4852,0.90962,1.09663,0.82992,0.80803,0.86743,0.50892,1.47067,1.01356,1.15156,0.000297232,0.000297232,0.000297232
10,2721.64,1.4442,0.87302,1.08003,0.86368,0.8265,0.88754,0.50905,1.53829,0.97583,1.14275,0.000155761,0.000155761,0.000155761
